"Files","BY","NC","SA","Mark Changes"
"supply_regions/11-supply.shp","x","x","x","x"
"supply_regions/RSA.shp","x","x","x","x"
"SAPAD_OR_2023_Q3/*","x","x","x",
"SACAD_OR_2023_Q3/*","x","x","x",
REEA_OR_2023_Q3/*","x","x","x",
"REDZ_DEA_Unpublished_Draft_2015/*","x","x","x",
"Phase2_REDZs/*","x","x","x",
"Power_corridors","x","x","x",
"SystemEnergy2009_22.csv","x",,,
"ZAF_wind-speed_100m.tif","x",,,
"Supply_area_normalised power feed-in for PV.xlsx ","x",,,
"Supply_area_normalised power feed-in for Wind.xlsx","x",,,
"SALandCover_OriginalUTM35North_2013_GTI_72Classes","x","x",,
"data/bundle/South_Africa_100m_Population/ZAF15adjv4.tif","x","x",,
